NAME                       INSTALLED                 FIXED-IN                  TYPE       VULNERABILITY        SEVERITY 
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.6       rpm        ALAS-2021-1608       Medium    
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.7       rpm        ALAS-2021-1687       Low       
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.8       rpm        ALAS-2021-1721       Medium    
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-24.amzn2.0.2       rpm        ALAS-2022-1766       High      
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-24.amzn2.0.3       rpm        ALAS-2022-1801       Medium    
openssl                    1:1.0.2k-19.amzn2.0.3     1.0.2k-24.amzn2.0.4       rpm        ALAS-2022-1831       Medium    
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.4       rpm        ALAS-2020-1573       High      
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.6       rpm        ALAS-2021-1608       Medium    
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.7       rpm        ALAS-2021-1687       Low       
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-19.amzn2.0.8       rpm        ALAS-2021-1721       Medium    
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-24.amzn2.0.2       rpm        ALAS-2022-1766       High      
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-24.amzn2.0.3       rpm        ALAS-2022-1801       Medium    
openssl-libs               1:1.0.2k-19.amzn2.0.3     1.0.2k-24.amzn2.0.4       rpm        ALAS-2022-1831       Medium    
p11-kit                    0.23.5-3.amzn2.0.2        0.23.22-1.amzn2.0.1       rpm        ALAS-2021-1601       Medium    
p11-kit-trust              0.23.5-3.amzn2.0.2        0.23.22-1.amzn2.0.1       rpm        ALAS-2021-1601       Medium    
python                     2.7.16-5.amzn2            2.7.18-1.amzn2            rpm        ALAS-2020-1432       Medium    
python                     2.7.16-5.amzn2            2.7.18-1.amzn2.0.1        rpm        ALAS-2020-1471       Medium    
python                     2.7.16-5.amzn2            2.7.18-1.amzn2.0.2        rpm        ALAS-2020-1483       Medium    
python                     2.7.16-5.amzn2            2.7.18-1.amzn2.0.3        rpm        ALAS-2021-1611       Medium    
python                     2.7.16-5.amzn2            2.7.18-1.amzn2.0.4        rpm        ALAS-2021-1669       Medium    
python                     2.7.16-5.amzn2            2.7.18-1.amzn2.0.5        rpm        ALAS-2022-1802       Medium    
python-libs                2.7.16-5.amzn2            2.7.18-1.amzn2            rpm        ALAS-2020-1432       Medium    
python-libs                2.7.16-5.amzn2            2.7.18-1.amzn2.0.1        rpm        ALAS-2020-1471       Medium    
python-libs                2.7.16-5.amzn2            2.7.18-1.amzn2.0.2        rpm        ALAS-2020-1483       Medium    
python-libs                2.7.16-5.amzn2            2.7.18-1.amzn2.0.3        rpm        ALAS-2021-1611       Medium    
python-libs                2.7.16-5.amzn2            2.7.18-1.amzn2.0.4        rpm        ALAS-2021-1669       Medium    
python-libs                2.7.16-5.amzn2            2.7.18-1.amzn2.0.5        rpm        ALAS-2022-1802       Medium    
python2-rpm                4.11.3-40.amzn2.0.3       4.11.3-40.amzn2.0.6       rpm        ALAS-2021-1689       Medium    
rpm                        4.11.3-40.amzn2.0.3       4.11.3-40.amzn2.0.6       rpm        ALAS-2021-1689       Medium    
